,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
US,99738383.0,104949031.42857075,107554652.7142849,110160274.0,121862329.0,115371516.5714283,117977137.85714245,120582759.1428566,122586293.0,125794001.7142849,128399623.0,131005244.28571415,124793121.0,136216486.85714245,138822108.1428566,141427729.42857075,140114503.0,146638972.0,149244593.28571415,151850214.5714283,161303109.0,157061457.1428566,159667078.42857075,162272699.7142849,164878321.0,167483942.28571415,170089563.5714283,172695184.85714245,175300806.1428566,177906427.42857075,180512048.7142849,183117670.0,185723291.28571415,188328912.5714283,190934533.85714245,193540155.1428566,196145776.42857075,198751397.7142849,201357019.0,203962640.28571415,206568261.5714283,209173882.85714245,211779504.1428566,214385125.42857075,216990746.7142849,219596368.0,222201989.28571415,224807610.5714283,227413231.85714245,230018853.1428566,232624474.42857075
China,4886707.939999986,4983205.141999984,5079702.343999983,5176199.5459999805,5272696.747999978,5369193.95000001,5465691.152000008,5562188.354000006,5658685.5560000045,5755182.758000002,5851679.960000001,5948177.161999999,6044674.363999996,6141171.565999995,6237668.767999993,6334165.969999991,6430663.171999989,6527160.373999988,6623657.575999985,6720154.777999983,6816651.979999982,6913149.18199998,7009646.384000011,7106143.586000009,7202640.788000007,7299137.990000006,7395635.1920000035,7492132.394000001,7588629.596,7685126.797999998,7781623.999999996,7878121.201999994,7974618.403999992,8071115.60599999,8167612.807999988,8264110.009999987,8360607.211999984,8457104.413999982,8553601.61599998,8650098.81799998,8746596.02000001,8843093.222000008,8939590.424000006,9036087.626000004,9132584.828000003,9229082.030000001,9325579.231999999,9422076.433999997,9518573.635999994,9615070.837999994,9711568.039999992
