,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
China,73.86999999999995,74.13999999999993,74.41000000000003,74.68,74.94999999999999,75.21999999999997,75.48999999999995,75.75999999999993,76.02999999999992,76.30000000000001,76.57,76.83999999999997,77.10999999999996,77.37999999999994,77.64999999999992,77.92000000000002,78.19,78.45999999999998,78.72999999999996,78.99999999999994,79.26999999999992,79.54000000000002,79.81,80.07999999999998,80.34999999999997,80.61999999999995,80.88999999999993,81.16000000000003,81.43,81.69999999999999,81.96999999999997,82.23999999999995,82.50999999999993,82.78000000000003,83.05000000000001,83.32,83.58999999999997,83.85999999999996,84.12999999999994,84.40000000000003,84.67000000000002,84.94,85.20999999999998,85.47999999999996,85.74999999999994,86.02000000000004,86.29000000000002,86.56,86.82999999999998,87.09999999999997,87.36999999999995
US,77.28333333333333,77.26833333333333,77.25333333333333,77.23833333333333,77.22333333333333,77.20833333333333,77.19333333333333,77.17833333333334,77.16333333333333,77.14833333333334,77.13333333333333,77.11833333333334,77.10333333333334,77.08833333333334,77.07333333333334,77.05833333333334,77.04333333333334,77.02833333333334,77.01333333333334,76.99833333333333,76.98333333333333,76.96833333333333,76.95333333333333,76.93833333333333,76.92333333333333,76.90833333333333,76.89333333333335,76.87833333333333,76.86333333333334,76.84833333333333,76.83333333333334,76.81833333333334,76.80333333333334,76.78833333333334,76.77333333333334,76.75833333333334,76.74333333333334,76.72833333333334,76.71333333333334,76.69833333333334,76.68333333333334,76.66833333333334,76.65333333333334,76.63833333333334,76.62333333333333,76.60833333333333,76.59333333333333,76.57833333333335,76.56333333333333,76.54833333333335,76.53333333333333
