,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
China Enrollment Rates (%),12.5,13.9,15.3,16.7,18.1,19.5,20.9,22.3,23.7,25.1,26.5,29.2,31.9,34.6,37.3,40.0,42.7,45.7,48.1,51.6,54.4,50.737076923076984,52.56133333333355,54.38558974359012,56.20984615384623,58.034102564102795,59.85835897435936,61.682615384615474,63.50687179487204,65.3311282051286,67.15538461538472,68.97964102564129,70.80389743589785,72.62815384615396,74.45241025641053,76.27666666666664,78.10092307692321,79.92517948717978,81.74943589743589,83.57369230769245,85.39794871794902,87.22220512820513,89.0464615384617,90.87071794871827,92.69497435897438,94.51923076923094,96.34348717948751,98.16774358974362,99.99200000000019,101.81625641025676,103.64051282051287
US Enrollment Rates (%),76.75,76.8,76.77,76.04,75.15,74.46,74.21,73.94,73.22,72.91,72.04,71.95,72.37,72.37,72.52,72.91,73.49,73.68,73.99,73.88,72.97,71.71030769230771,71.50027350427354,71.29023931623931,71.08020512820514,70.87017094017096,70.66013675213674,70.45010256410256,70.2400683760684,70.03003418803416,69.82,69.60996581196582,69.39993162393165,69.18989743589742,68.97986324786325,68.76982905982908,68.55979487179485,68.34976068376068,68.1397264957265,67.92969230769233,67.7196581196581,67.50962393162393,67.29958974358976,67.08955555555553,66.87952136752136,66.66948717948719,66.45945299145302,66.24941880341879,66.03938461538462,65.82935042735045,65.61931623931622
