Year,1992.0,1997.0,2002.0,2007.0,2012.0,2017.0,2022.0,
China,11007.51,45257.04,52742.86,83520.89,121073.14,136315.13,189132.41,
USA,19222.0,103398.0,74457.0,215952.0,199034.0,308956.0,285057.0,
