Year,United States,China
2012,60.83,51.25
2013,65.49,54.21666666666667
2014,70.15,57.18333333333333
2015,74.81,60.15
2016,76.52333333333334,60.51
2017,78.23666666666666,60.87
2018,79.95,61.23
2019,79.95,61.23
2020,79.95,61.23
2021,79.95,61.23
2022,79.95,61.23
2023,79.95,61.23
