Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
US,5.7744,5.6576,5.3861,4.9914,4.731,4.6709,4.6916,4.4834,4.3983,4.893,5.3217,5.2439,4.9298,4.9859,6.4208
China,1.3688,1.2197,1.1135,1.0953,0.9947,0.8853,0.8259,0.7732,0.7279,0.6601,0.6159,0.5666,0.531,0.519,0.5023
