Country Name,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,731229.2000007629,1026646.2000007629,1077749.0,1138860.0,1574086.0,2582123.0,2619120.900001526,3293455.3999938965,4011984.1999969482,3910216.0,5092802.0,7402603.0,10128367.5,12660347.5,17177631.799987793,11239883.099975586,16792918.299987793,19711309.5,27546616.0,31575647.0,37928617.19995117,49677428.0,53964288.599975586,54488192.600097656,55429664.19995117,58157246.399902344,105345802.08,120224024.312,142432038.505,151138377.63,198272483.25,208041854.401,247268289.905,292333850.038,312156961.055,343391431.1628,412862212.8774,455111073.869,495274418.753,541190611.7331,590514975.581,643234025.63,702725775.5851,783791382.6147,855115962.2071,912737484.5878,667417515.2436,707890529.2116
United States,212270055.39990234,209483499.60009766,227715234.2001953,244948812.60009766,277890910.7998047,318674458.0996094,300300403.4003906,285723306.9003906,295573003.7998047,320420280.5,345407981.0996094,377622676.2001953,420671115.0,448242727.2001953,460845287.5996094,459698255.0,471437407.4003906,458654290.2001953,473558709.5996094,476370255.0,522193083.80078125,543343488.097908,581330839.0099856,600727652.1584843,598247370.2917176,645214663.8742092,704838709.256449,660461807.6633037,638578210.3065114,631996740.6258099,725263325.6830089,771748605.2356296,779012475.3274077,801805627.6457129,756104010.0532163,728454052.5052919,773580729.9280192,784458001.4237359,791170986.6410328,798528244.1638627,819831669.9025774,856890551.1001934,883160331.0763966,911915958.551767,954693988.921196,993677738.438562,430912380.766502,737147018.706988
